Country or Area,Richest 20% Learning materials at home - Children's books,Female Net enrolment ratio in secondary education,Total Learning materials at home - Children's books,Male Net enrolment ratio in secondary education,Poorest 20% Learning materials at home - Children's books,Female Net attendance ratio in secondary education,Female Gross enrolment ratio in pre-primary education,Male Net attendance ratio in secondary education,Proportion of pupils starting grade 1 who reach grade 5,Gross enrolment ratio in lower secondary education
Malaysia,0.44107744107744096,0.6847826086956522,0.3161512027491409,0.6091954022988506,0.1039426523297491,0.6428571428571429,0.4594594594594595,0.6224489795918368,0.9726027397260274,0.631578947368421
Maldives,0.14646464646464644,0.4130434782608696,0.36597938144329895,0.4827586206896552,0.010752688172043013,0.6428571428571429,0.7702702702702703,0.5306122448979592,0.6004566210045661,0.4912280701754386
Mali,0.2188552188552189,0.17391304347826084,0.12371134020618554,0.26436781609195403,0.013440860215053764,0.24489795918367346,0.013513513513513514,0.3877551020408163,0.6575342465753424,0.2543859649122807
Malta,0.8101010101010101,0.7826086956521741,0.44948453608247424,0.8045977011494253,0.4,0.8857142857142857,0.7702702702702703,0.8877551020408163,0.726027397260274,0.7368421052631579
Marshall Islands,0.5195381487834321,0.7173913043478259,0.3423123473600035,0.6666666666666666,0.2406934018619961,0.6428571428571429,0.3108108108108108,0.6224489795918368,0.7671232876712328,0.7982456140350878
Mauritania,0.21212121212121213,0.2282608695652173,0.08247422680412371,0.26436781609195403,0.010752688172043013,0.17346938775510204,0.08783783783783784,0.21428571428571427,0.6027397260273972,0.06140350877192983
Mauritius,0.101010101010101,0.2391304347826087,0.030927835051546393,0.2413793103448276,0.021505376344086027,0.2959183673469388,0.6418918918918919,0.3163265306122449,0.9726027397260274,0.6754385964912281
Mexico,0.7373737373737373,0.7065217391304348,0.010309278350515464,0.6666666666666666,0.1827956989247312,0.4877551020408163,0.6824324324324325,0.42857142857142855,0.9178082191780822,0.8596491228070176
Monaco,0.5195381487834321,0.8043478260869565,0.3423123473600035,0.8160919540229885,0.2406934018619961,0.5798192532827089,0.3716216216216216,0.5703755339345039,0.9452054794520548,0.6666666666666666
Mongolia,0.4848484848484849,0.7173913043478259,0.2371134020618557,0.6666666666666666,0.06451612903225806,0.9693877551020408,0.527027027027027,0.9285714285714286,0.9178082191780822,0.6140350877192983
Montenegro,0.9292929292929292,0.8043478260869565,0.7938144329896907,0.8160919540229885,0.5376344086021505,0.9387755102040816,0.19594594594594594,0.9183673469387756,0.9452054794520548,0.8333333333333334
Morocco,0.5252525252525253,0.5978260869565217,0.21649484536082475,0.6436781609195402,0.0967741935483871,0.3673469387755102,0.3310810810810811,0.3979591836734694,0.8767123287671232,0.6140350877192983
Mozambique,0.101010101010101,0.07608695652173914,0.030927835051546393,0.05747126436781608,0.021505376344086027,0.20408163265306128,0.11486486486486487,0.21428571428571427,0.7713684360730597,0.13157894736842105
Myanmar,0.44107744107744096,0.4782608695652174,0.3161512027491409,0.4252873563218391,0.1039426523297491,0.5408163265306123,0.060810810810810814,0.5306122448979592,0.6575342465753424,0.3771929824561404
Namibia,0.12121212121212124,0.2391304347826087,0.041237113402061855,0.2413793103448276,0.010752688172043013,0.6326530612244898,0.11486486486486487,0.4795918367346938,0.7671232876712328,0.2456140350877193
Nauru,0.5195381487834321,0.7173913043478259,0.3423123473600035,0.6666666666666666,0.2406934018619961,0.7040816326530612,0.6216216216216216,0.5306122448979592,0.9315068493150684,0.6140350877192983
Nepal,0.14646464646464644,0.4130434782608696,0.36597938144329895,0.4827586206896552,0.010752688172043013,0.3877551020408163,0.32432432432432434,0.4693877551020408,0.3972602739726027,0.4912280701754386
Netherlands,0.5195381487834321,0.8695652173913043,0.3423123473600035,0.8620689655172413,0.2406934018619961,0.5798192532827089,0.6216216216216216,0.5703755339345039,0.9452054794520548,0.9473684210526316
New Zealand,0.5195381487834321,0.9456521739130436,0.3423123473600035,0.9425287356321842,0.2406934018619961,0.6428571428571429,0.6351351351351351,0.6224489795918368,0.9315068493150684,0.7456140350877193
Nicaragua,0.7373737373737373,0.44565217391304346,0.010309278350515464,0.3563218390804598,0.1827956989247312,0.4795918367346938,0.3716216216216216,0.35714285714285715,0.8767123287671232,0.5350877192982456
Niger,0.21212121212121213,0.6121215062111802,0.08247422680412371,0.011494252873563218,0.010752688172043013,0.08163265306122447,0.020270270270270268,0.1326530612244898,0.5753424657534246,0.5734192251461996
Nigeria,0.35353535353535354,0.2375776397515528,0.14432989690721648,0.2676518883415435,0.021505376344086027,0.4387755102040816,0.08783783783783784,0.4591836734693878,0.726027397260274,0.2456140350877193
Norway,0.5195381487834321,0.9347826086956522,0.3423123473600035,0.9425287356321842,0.2406934018619961,0.5798192532827089,0.6554054054054054,0.5703755339345039,0.9863013698630136,0.6929824561403509
Oman,0.5892255892255893,0.8913043478260869,0.32302405498281783,0.8850574712643678,0.2293906810035841,0.7346938775510204,0.2972972972972973,0.7460317460317459,0.8664383561643836,0.7807017543859649
Pakistan,0.14646464646464644,0.2282608695652173,0.36597938144329895,0.2988505747126437,0.010752688172043013,0.2959183673469388,0.32432432432432434,0.35714285714285715,0.4794520547945205,0.21929824561403508
Panama,0.7373737373737373,0.6956521739130435,0.010309278350515464,0.6206896551724138,0.1827956989247312,0.4877551020408163,0.4459459459459459,0.42857142857142855,0.9178082191780822,0.6491228070175439
Papua New Guinea,0.5195381487834321,0.7173913043478259,0.3423123473600035,0.6666666666666666,0.2406934018619961,0.6428571428571429,0.6621621621621622,0.6224489795918368,0.9315068493150684,0.6140350877192983
Paraguay,0.8131313131313131,0.5869565217391305,0.4793814432989691,0.5287356321839081,0.25806451612903225,0.8163265306122449,0.2297297297297297,0.8265306122448979,0.6986301369863014,0.5175438596491229
Peru,0.8131313131313131,0.7608695652173914,0.4793814432989691,0.7471264367816092,0.25806451612903225,0.8367346938775511,0.527027027027027,0.8265306122448979,0.8630136986301371,0.7192982456140351
Philippines,0.44107744107744096,0.6413043478260869,0.3161512027491409,0.5057471264367817,0.1039426523297491,0.7142857142857143,0.34459459459459457,0.5612244897959183,0.6712328767123288,0.6052631578947368
Poland,1.0,0.9130434782608696,1.0,0.8965517241379308,1.0,0.9081632653061223,0.4391891891891892,0.8911564625850338,0.9726027397260274,0.6842105263157895
Portugal,0.8101010101010101,0.8043478260869565,0.44948453608247424,0.8160919540229885,0.4,0.8857142857142857,0.5472972972972973,0.8877551020408163,0.9452054794520548,0.8508771929824561
Qatar,0.5892255892255893,0.9239130434782608,0.32302405498281783,0.7356321839080459,0.2293906810035841,0.7346938775510204,0.3581081081081081,0.7460317460317459,0.8664383561643836,0.7192982456140351
Republic of Korea,0.4848484848484849,0.9456521739130436,0.2371134020618557,0.9655172413793104,0.06451612903225806,0.6428571428571429,0.7972972972972973,0.6224489795918368,0.9863013698630136,0.7105263157894737
Republic of Moldova,1.0,0.7717391304347826,1.0,0.7586206896551724,1.0,0.8673469387755102,0.5,0.8367346938775511,0.9315068493150684,0.6140350877192983
